sub_category,revenue,total_cost,profit,profit_margin_pct,profit_rank
Copiers,149528.03,93910.21,55617.82,37.2,1
Phones,330007.05,285491.32,44515.73,13.49,2
Accessories,167380.32,125443.68,41936.64,25.05,3
Paper,78479.21,44425.64,34053.57,43.39,4
Binders,203412.73,173190.97,30221.76,14.86,5
Chairs,328449.1,301858.94,26590.17,8.1,6
Storage,223843.61,202564.78,21278.83,9.51,7
Appliances,107532.16,89394.16,18138.01,16.87,8
Furnishings,91705.16,78646.02,13059.14,14.24,9
Envelopes,16476.4,9512.23,6964.18,42.27,10
Art,27118.79,20591.01,6527.79,24.07,11
Labels,12486.31,6940.06,5546.25,44.42,12
Machines,189238.63,185853.87,3384.76,1.79,13
Fasteners,3024.28,2074.76,949.52,31.4,14
Supplies,46673.54,47862.64,-1189.1,-2.55,15
Bookcases,114880.0,118352.55,-3472.56,-3.02,16
Tables,206965.53,224691.01,-17725.48,-8.56,17
