year,category,revenue,profit,yoy_revenue_growth_pct,yoy_profit_growth_pct
2014,Furniture,157192.85,5457.73,,
2015,Furniture,170518.24,3015.2,8.48,-44.75
2016,Furniture,198901.44,6959.95,16.65,130.83
2017,Furniture,215387.27,3018.39,8.29,-56.63
2014,Office Supplies,151776.41,22593.42,,
2015,Office Supplies,137233.46,25099.53,-9.58,11.09
2016,Office Supplies,183939.98,35061.23,34.03,39.69
2017,Office Supplies,246097.18,39736.62,33.79,13.33
2014,Technology,175278.23,21492.83,,
2015,Technology,162780.81,33503.87,-7.13,55.88
2016,Technology,226364.18,39773.99,39.06,18.71
2017,Technology,271730.81,50684.26,20.04,27.43
